Designator,Mid X,Mid Y,Rotation,Layer
B1,215.0,-152.0,231.0,top
D1,100.0,-155.0,0.0,top
D10,118.0,-87.0,0.0,top
D11,136.0,-149.0,0.0,top
D12,136.0,-132.0,0.0,top
D13,136.0,-115.0,0.0,top
D14,136.0,-98.0,0.0,top
D15,136.0,-81.0,0.0,top
D16,154.0,-144.0,0.0,top
D17,154.0,-127.0,0.0,top
D18,154.0,-110.0,0.0,top
D19,154.0,-93.0,0.0,top
D2,100.0,-138.0,0.0,top
D20,154.0,-76.0,0.0,top
D21,172.0,-149.0,0.0,top
D22,172.0,-132.0,0.0,top
D23,172.0,-115.0,0.0,top
D24,172.0,-98.0,0.0,top
D25,172.0,-81.0,0.0,top
D26,190.0,-157.0,0.0,top
D27,190.0,-140.0,0.0,top
D28,190.0,-123.0,0.0,top
D29,190.0,-106.0,0.0,top
D3,100.0,-121.0,0.0,top
D30,190.0,-89.0,0.0,top
D4,100.0,-104.0,0.0,top
D5,100.0,-87.0,0.0,top
D6,118.0,-155.0,0.0,top
D7,118.0,-138.0,0.0,top
D8,118.0,-121.0,0.0,top
D9,118.0,-104.0,0.0,top
JST1,213.0,-139.0,270.0,top
MCU1,211.5,-112.0,270.0,top
S1,100.0,-150.0,0.0,top
S10,118.0,-82.0,0.0,top
S11,136.0,-144.0,0.0,top
S12,136.0,-127.0,0.0,top
S13,136.0,-110.0,0.0,top
S14,136.0,-93.0,0.0,top
S15,136.0,-76.0,0.0,top
S16,154.0,-139.0,0.0,top
S17,154.0,-122.0,0.0,top
S18,154.0,-105.0,0.0,top
S19,154.0,-88.0,0.0,top
S2,100.0,-133.0,0.0,top
S20,154.0,-71.0,0.0,top
S21,172.0,-144.0,0.0,top
S22,172.0,-127.0,0.0,top
S23,172.0,-110.0,0.0,top
S24,172.0,-93.0,0.0,top
S25,172.0,-76.0,0.0,top
S26,190.0,-152.0,0.0,top
S27,190.0,-135.0,0.0,top
S28,190.0,-118.0,0.0,top
S29,190.0,-101.0,0.0,top
S3,100.0,-116.0,0.0,top
S30,190.0,-84.0,0.0,top
S4,100.0,-99.0,0.0,top
S5,100.0,-82.0,0.0,top
S6,118.0,-150.0,0.0,top
S7,118.0,-133.0,0.0,top
S8,118.0,-116.0,0.0,top
S9,118.0,-99.0,0.0,top
T1,221.0,-138.7,270.0,top
